country_Code,Country_number,Country,Currency_Name,Currency_Code,Currency_Number,temp,Currency_Code2,Value
LIE,438,LIECHTENSTEIN,Swiss Franc,CHF,756,28,CHF,0.893285
LTU,440,LITHUANIA,Euro,EUR,978,43,EUR,0.942866
LUX,442,LUXEMBOURG,Euro,EUR,978,43,EUR,0.942866
MAC,446,MACAO,Pataca,MOP,446,93,MOP,8.057976
MKD,807,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar,MKD,807,90,MKD,58.090086
MDG,450,MADAGASCAR,Malagasy Ariary,MGA,969,89,MGA,4527.155647
MWI,454,MALAWI,Kwacha,MWK,454,97,MWK,1160.943874
MYS,458,MALAYSIA,Malaysian Ringgit,MYR,458,99,MYR,4.784464
MDV,462,MALDIVES,Rufiyaa,MVR,462,96,MVR,15.451169
MLI,466,MALI,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
MLT,470,MALTA,Euro,EUR,978,43,EUR,0.942866
MHL,584,MARSHALL ISLANDS (THE),US Dollar,USD,840,0,USD,1.0
MTQ,474,MARTINIQUE,Euro,EUR,978,43,EUR,0.942866
MRT,478,MAURITANIA,Ouguiya,MRU,929,94,MRU,38.467675
MUS,480,MAURITIUS,Mauritius Rupee,MUR,480,95,MUR,44.571064
MYT,175,MAYOTTE,Euro,EUR,978,43,EUR,0.942866
MEX,484,MEXICO,Mexican Peso,MXN,484,98,MXN,18.249386
FSM,583,MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840,0,USD,1.0
MDA,498,MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498,88,MDL,18.174867
MCO,492,MONACO,Euro,EUR,978,43,EUR,0.942866
MNG,496,MONGOLIA,Tugrik,MNT,496,92,MNT,3449.71644
MNE,499,MONTENEGRO,Euro,EUR,978,43,EUR,0.942866
MSR,500,MONTSERRAT,East Caribbean Dollar,XCD,951,154,XCD,2.7
MAR,504,MOROCCO,Moroccan Dirham,MAD,504,87,MAD,10.296711
MOZ,508,MOZAMBIQUE,Mozambique Metical,MZN,943,100,MZN,63.87981
MMR,104,MYANMAR,Kyat,MMK,104,91,MMK,2096.614576
NAM,516,NAMIBIA,Namibia Dollar,NAD,516,101,NAD,19.039012
